/home/wangsh/DBALwithImgData-main/main.py:10: DeprecationWarning: Please use `gaussian_filter1d` from the `scipy.ndimage` namespace, the `scipy.ndimage.filters` namespace is deprecated.
  from scipy.ndimage.filters import gaussian_filter1d
Using device: cuda:0
DataLoader :  <load_data.LoadASL_imbal_Data object at 0x1507e2ddadc0>
Val Accuracy after query 85: 1.0000
test Accuracy after query 85: 0.9186
Val Accuracy after query 90: 1.0000
test Accuracy after query 90: 0.9214
Val Accuracy after query 95: 1.0000
test Accuracy after query 95: 0.9174
Val Accuracy after query 100: 1.0000
test Accuracy after query 100: 0.9238
Val Accuracy after query 105: 1.0000
test Accuracy after query 105: 0.9326
Val Accuracy after query 110: 1.0000
test Accuracy after query 110: 0.9266
Val Accuracy after query 115: 1.0000
test Accuracy after query 115: 0.9284
Val Accuracy after query 120: 1.0000
test Accuracy after query 120: 0.9242
Val Accuracy after query 125: 1.0000
test Accuracy after query 125: 0.9308
Val Accuracy after query 130: 1.0000
test Accuracy after query 130: 0.9318
Val Accuracy after query 135: 1.0000
test Accuracy after query 135: 0.9244
Val Accuracy after query 140: 1.0000
test Accuracy after query 140: 0.9288
Val Accuracy after query 145: 1.0000
test Accuracy after query 145: 0.9376
Val Accuracy after query 150: 1.0000
test Accuracy after query 150: 0.9380
********** Test Accuracy per experiment: 0.938 **********
********** Experiment 3 (var_ratios-MC_dropout=True): 0:28:18 **********
Average Test score for var_ratios-MC_dropout=True: 0.9337333333333332
Saved: result_npy/var_ratios-MC_dropout=TrueASL_MNIST_imbal.npy

---------- Start mean_std-MC_dropout=True training! ----------
********** Experiment Iterations: 1/3 **********
X_init.shape:  (48, 1, 28, 28)
y_init.shape:  (48,)
Val Accuracy after query 5: 0.3800
test Accuracy after query 5: 0.2934
Val Accuracy after query 10: 0.4400
test Accuracy after query 10: 0.3972
Val Accuracy after query 15: 0.5800
test Accuracy after query 15: 0.4534
Val Accuracy after query 20: 0.6300
test Accuracy after query 20: 0.4918
Val Accuracy after query 25: 0.7000
test Accuracy after query 25: 0.5552
Val Accuracy after query 30: 0.7900
test Accuracy after query 30: 0.6522
Val Accuracy after query 35: 0.8300
test Accuracy after query 35: 0.7098
Val Accuracy after query 40: 0.8400
test Accuracy after query 40: 0.7550
Val Accuracy after query 45: 0.8800
test Accuracy after query 45: 0.7614
Val Accuracy after query 50: 0.9000
test Accuracy after query 50: 0.7868
Val Accuracy after query 55: 0.9400
test Accuracy after query 55: 0.8062
Val Accuracy after query 60: 0.9300
test Accuracy after query 60: 0.8322
Val Accuracy after query 65: 0.9300
test Accuracy after query 65: 0.8318
Val Accuracy after query 70: 0.9700
test Accuracy after query 70: 0.8472
Val Accuracy after query 75: 0.9800
test Accuracy after query 75: 0.8844
Val Accuracy after query 80: 1.0000
test Accuracy after query 80: 0.8752
Val Accuracy after query 85: 1.0000
test Accuracy after query 85: 0.8692
Val Accuracy after query 90: 0.9900
test Accuracy after query 90: 0.9064
Val Accuracy after query 95: 1.0000
test Accuracy after query 95: 0.9046
Val Accuracy after query 100: 1.0000
test Accuracy after query 100: 0.9056
Val Accuracy after query 105: 1.0000
test Accuracy after query 105: 0.9014
Val Accuracy after query 110: 1.0000
test Accuracy after query 110: 0.9188
Val Accuracy after query 115: 1.0000
test Accuracy after query 115: 0.9148
Val Accuracy after query 120: 1.0000
test Accuracy after query 120: 0.9264
Val Accuracy after query 125: 1.0000
test Accuracy after query 125: 0.9210
Val Accuracy after query 130: 1.0000
test Accuracy after query 130: 0.9238
Val Accuracy after query 135: 1.0000
test Accuracy after query 135: 0.9272
Val Accuracy after query 140: 1.0000
test Accuracy after query 140: 0.9254
Val Accuracy after query 145: 1.0000
test Accuracy after query 145: 0.9146
Val Accuracy after query 150: 1.0000
test Accuracy after query 150: 0.9188
********** Test Accuracy per experiment: 0.9188 **********
********** Experiment 1 (mean_std-MC_dropout=True): 0:28:7 **********
********** Experiment Iterations: 2/3 **********
X_init.shape:  (48, 1, 28, 28)
y_init.shape:  (48,)
Val Accuracy after query 5: 0.4000
test Accuracy after query 5: 0.3848
Val Accuracy after query 10: 0.4300
test Accuracy after query 10: 0.3926
Val Accuracy after query 15: 0.5800
test Accuracy after query 15: 0.4922
Val Accuracy after query 20: 0.6700
test Accuracy after query 20: 0.5378
Val Accuracy after query 25: 0.7700
test Accuracy after query 25: 0.6308
Val Accuracy after query 30: 0.8000
test Accuracy after query 30: 0.6554
Val Accuracy after query 35: 0.8200
test Accuracy after query 35: 0.7048
Val Accuracy after query 40: 0.8600
test Accuracy after query 40: 0.7586
Val Accuracy after query 45: 0.9100
test Accuracy after query 45: 0.8088
Val Accuracy after query 50: 0.9000
test Accuracy after query 50: 0.8104
Val Accuracy after query 55: 0.9100
test Accuracy after query 55: 0.8170
Val Accuracy after query 60: 0.9000
test Accuracy after query 60: 0.8654
Val Accuracy after query 65: 0.9400
test Accuracy after query 65: 0.8706
Val Accuracy after query 70: 0.9700
test Accuracy after query 70: 0.8940
Val Accuracy after query 75: 0.9700
test Accuracy after query 75: 0.8994
Val Accuracy after query 80: 0.9900
test Accuracy after query 80: 0.8890
Val Accuracy after query 85: 1.0000
test Accuracy after query 85: 0.9148
Val Accuracy after query 90: 1.0000
test Accuracy after query 90: 0.9112
Val Accuracy after query 95: 1.0000
test Accuracy after query 95: 0.9146
Val Accuracy after query 100: 1.0000
test Accuracy after query 100: 0.9214
Val Accuracy after query 105: 1.0000
test Accuracy after query 105: 0.9306
Val Accuracy after query 110: 1.0000
test Accuracy after query 110: 0.9310
Val Accuracy after query 115: 1.0000
test Accuracy after query 115: 0.9202
Val Accuracy after query 120: 1.0000
test Accuracy after query 120: 0.9192
Val Accuracy after query 125: 1.0000
test Accuracy after query 125: 0.9310
Val Accuracy after query 130: 1.0000
test Accuracy after query 130: 0.9292
Val Accuracy after query 135: 1.0000
test Accuracy after query 135: 0.9298
Val Accuracy after query 140: 1.0000
test Accuracy after query 140: 0.9280
Val Accuracy after query 145: 1.0000
test Accuracy after query 145: 0.9214
Val Accuracy after query 150: 1.0000
test Accuracy after query 150: 0.9272
********** Test Accuracy per experiment: 0.9272 **********
********** Experiment 2 (mean_std-MC_dropout=True): 0:28:4 **********
********** Experiment Iterations: 3/3 **********
X_init.shape:  (48, 1, 28, 28)
y_init.shape:  (48,)
Val Accuracy after query 5: 0.4500
test Accuracy after query 5: 0.3096
Val Accuracy after query 10: 0.5500
test Accuracy after query 10: 0.4384
Val Accuracy after query 15: 0.6100
test Accuracy after query 15: 0.5194
Val Accuracy after query 20: 0.7300
test Accuracy after query 20: 0.5854
Val Accuracy after query 25: 0.7800
test Accuracy after query 25: 0.6472
Val Accuracy after query 30: 0.7800
test Accuracy after query 30: 0.6868
Val Accuracy after query 35: 0.8500
test Accuracy after query 35: 0.7178
Val Accuracy after query 40: 0.8600
test Accuracy after query 40: 0.7712
Val Accuracy after query 45: 0.8900
test Accuracy after query 45: 0.7860
Val Accuracy after query 50: 0.9000
test Accuracy after query 50: 0.8100
Val Accuracy after query 55: 0.9400
test Accuracy after query 55: 0.8488
Val Accuracy after query 60: 0.9700
test Accuracy after query 60: 0.8750
Val Accuracy after query 65: 0.9800
test Accuracy after query 65: 0.8946
Val Accuracy after query 70: 0.9800
test Accuracy after query 70: 0.9094
Val Accuracy after query 75: 0.9800
test Accuracy after query 75: 0.9118
Val Accuracy after query 80: 0.9900
test Accuracy after query 80: 0.9114
Val Accuracy after query 85: 1.0000
test Accuracy after query 85: 0.9274
Val Accuracy after query 90: 1.0000
test Accuracy after query 90: 0.9346
Val Accuracy after query 95: 1.0000
test Accuracy after query 95: 0.9296
Val Accuracy after query 100: 1.0000
test Accuracy after query 100: 0.9302
Val Accuracy after query 105: 1.0000
test Accuracy after query 105: 0.9282
Val Accuracy after query 110: 1.0000
test Accuracy after query 110: 0.9292
Val Accuracy after query 115: 1.0000
test Accuracy after query 115: 0.9350
Val Accuracy after query 120: 1.0000
test Accuracy after query 120: 0.9318
Val Accuracy after query 125: 1.0000
test Accuracy after query 125: 0.9374
Val Accuracy after query 130: 1.0000
test Accuracy after query 130: 0.9310
Val Accuracy after query 135: 1.0000
test Accuracy after query 135: 0.9414
Val Accuracy after query 140: 1.0000
test Accuracy after query 140: 0.9358
Val Accuracy after query 145: 1.0000
test Accuracy after query 145: 0.9330
Val Accuracy after query 150: 1.0000
test Accuracy after query 150: 0.9330
********** Test Accuracy per experiment: 0.933 **********
********** Experiment 3 (mean_std-MC_dropout=True): 0:28:14 **********
Average Test score for mean_std-MC_dropout=True: 0.9263333333333333
Saved: result_npy/mean_std-MC_dropout=TrueASL_MNIST_imbal.npy
--------------- Done Training! ---------------
/home/wangsh/DBALwithImgData-main/main.py:60: UserWarning: Matplotlib is currently using agg, which is a non-GUI backend, so cannot show the figure.
  plt.show()
